Date,"Laboratory confirmed, since the beginning of the pandemic TOTAL","Laboratory confirmed, since the beginning of the pandemic Difference from","Laboratory confirmed, since the beginning of the pandemic Hospitalized","Laboratory confirmed, since the beginning of the pandemic Deceased","Laboratory confirmed, since the beginning of the pandemic RecoveredA","Laboratory confirmed, since the beginning of the pandemic Current CasesB","Reported, the last 7 days,Incidence per 100, Incidence per 100 ,+USAFD","Reported, the last 7 days,Incidence per 100, Incidence per 100 ,<20 Jahre","Reported, the last 7 days,Incidence per 100, Incidence per 100 ,20-59 JahreE","Reported, the last 7 days,Incidence per 100, Incidence per 100 ,>=60 Jahre"
8/1/2021,157557,37,9127,3906,151900,1751,597.2,994.7,713.7,171.4
8/2/2021,157685,128,9130,3906,151978,1801,602.4,1040.8,697.9,187.8
8/3/2021,157847,162,9139,3906,152040,1901,580.9,1019.1,658,196.1
8/4/2021,158035,188,9147,3907,152102,2026,630.4,992.2,773,182
8/5/2021,158184,149,9148,3908,152168,2108,679.8,1060.6,850.3,170.6
8/6/2021,158347,163,9158,3911,152267,2169,698.4,1121.3,870.7,159.5
8/7/2021,158401,54,9158,3911,152361,2129,690.3,1069.1,883.3,137.9
8/8/2021,158456,55,9160,3911,152471,2074,690.8,1081.4,881.1,135.9
8/9/2021,158582,126,9169,3912,152566,2104,721.1,1120.6,909,168.9
8/10/2021,158770,188,9182,3913,152664,2193,744.2,1101.6,953.9,182.6
8/11/2021,159019,249,9197,3914,152730,2375,805.7,1217.6,1006.9,220.6
8/12/2021,159280,261,9206,3914,152831,2535,899.6,1403.4,1106,257.8
8/13/2021,159535,255,9218,3916,152931,2688,965.6,1409.3,1227.4,256
8/14/2021,159628,93,9220,3916,153040,2672,988.8,1452.3,1240.9,284.9
8/15/2021,159755,127,9224,3916,153149,2690,1076.9,1598.4,1342.8,317.3
8/16/2021,160004,249,9235,3916,153251,2837,1165.9,1721.3,1481.8,297.5
8/17/2021,160300,296,9255,3918,153328,3054,1245.7,1800.4,1590.9,322.2
8/18/2021,160756,456,9280,3918,153391,3447,1406.9,2157,1767.8,335.8
8/19/2021,161116,360,9299,3919,153506,3691,1516.6,2366.8,1886.5,367.6
8/20/2021,161510,394,9316,3919,153603,3988,1645,2641.5,2027.1,385.3
8/21/2021,161586,76,9318,3919,153717,3950,1551.5,2477.9,1918.4,355.8
8/22/2021,161748,162,9319,3919,153837,3992,1626.4,2686.1,1975.7,385.7
8/23/2021,162198,450,9339,3919,153955,4324,1790.1,3143.2,2116.6,410.4
8/24/2021,162639,441,9364,3921,154058,4660,1817.9,3293.4,2087.3,469.2
8/25/2021,163286,647,9364,3922,154160,5204,1998.5,3717.8,2276.8,486.6
8/26/2021,163788,502,9391,3921,154286,5581,2112.9,4046.3,2373.7,499.2
